subj,trial,condition,target,respond,error,trial_duration_msec,reproduction_duration_msec,fb,fb_true,fb_offset,fb_time,GoodTrial
03,56,FB,7.504097,7.308475,-0.195622,15845,7941,3.2595122,3.7520485,-0.4925363,,1
03,57,FB,2.106308,3.638365,1.532057,19803,6208,1.8939078,1.053154,0.8407538,,1
03,58,FB,5.542448,6.699298,1.15685,15849,8974,3.879229,2.771224,1.108005,,1
03,59,FB,2.085505,2.773804,0.6882994,6998,4209,1.361134,1.0427525,0.3183815,,1
03,60,FB,5.024467,5.255493,0.2310257,12451,6364,2.6535904,2.5122335,0.1413569,,1
03,61,FB,4.114124,5.83113,1.717006,18308,7374,3.503809,2.057062,1.446747,,1
03,62,FB,3.278559,3.63162,0.353061,9235,5486,2.1911575,1.6392795,0.551878,,1
03,63,FB,5.258467,4.884943,-0.3735237,11553,6108,2.72695412,2.6292335,0.09772062,,1
03,64,FB,3.323945,4.687772,1.363827,10562,7186,1.9586417,1.6619725,0.2966692,,1
03,65,FB,5.903935,6.939611,1.035676,12596,7641,3.8877061,2.9519675,0.9357386,,1
03,66,FB,4.677372,5.130205,0.4528327,12914,6098,2.756563,2.338686,0.417877,,1
03,67,FB,2.207221,2.943817,0.7365966,5537,3332,1.8631798,1.1036105,0.7595693,,1
03,68,FB,2.319811,2.404438,0.08462739,6099,3765,1.1599055,1.1599055,-0,,1
03,69,FB,6.263533,6.843264,0.5797315,12973,6808,3.5703999,3.1317665,0.4386334,,1
03,70,FB,4.288153,2.627198,-1.660955,9963,3143,1.1455185,2.1440765,-0.998558,,1
03,71,FB,4.65842,4.890745,0.2323256,10067,5409,2.25463219,2.32921,-0.07457781,,1
03,72,FB,2.337345,1.764534,-0.5728115,5356,2999,-0.0749234999999999,1.1686725,-1.243596,,1
03,73,FB,5.747715,7.272061,1.524346,13410,7908,3.7240841,2.8738575,0.8502266,,1
03,74,FB,3.712986,3.81364,0.1006541,9930,5597,1.494915,1.856493,-0.361578,,1
03,75,FB,3.843705,3.333045,-0.5106595,9554,4743,0.6573145,1.9218525,-1.264538,,1
03,76,FB,4.813463,6.216727,1.403264,11308,7064,3.2137896,2.4067315,0.8070581,,1
03,77,FB,5.552754,4.456847,-1.095907,13096,6787,2.1574958,2.776377,-0.6188812,,1
03,78,FB,4.245418,5.267588,1.02217,11340,6165,2.5248026,2.122709,0.4020936,,1
03,79,FB,4.510283,5.686346,1.176063,10807,5942,3.1510469,2.2551415,0.8959054,,1
03,80,FB,6.242394,7.761874,1.51948,12874,7697,4.443255,3.121197,1.322058,,1
03,81,FB,5.148069,4.668698,-0.4793715,10020,5620,1.1159125,2.5740345,-1.458122,,1
03,82,FB,7.275488,5.742824,-1.532664,17743,6620,2.241616,3.637744,-1.396128,,1
03,83,FB,4.24988,3.14723,-1.10265,7365,3632,0.858624,2.12494,-1.266316,,1
03,84,FB,4.29586,6.683123,2.387262,11098,7087,3.421235,2.14793,1.273305,,1
03,85,FB,2.565826,3.575454,1.009628,6333,4077,1.282913,1.282913,-0,,1
03,86,FB,7.663795,8.64962,0.9858255,18900,9875,4.7321903,3.8318975,0.9002928,,1
03,87,FB,6.500589,7.333229,0.8326402,12884,6653,3.9678264,3.2502945,0.7175319,,1
03,88,FB,6.976997,6.212784,-0.7642131,12822,6986,3.4884985,3.4884985,-0,,1
03,89,FB,6.901106,6.444848,-0.4562578,18781,7330,2.143036,3.450553,-1.307517,,1
03,90,FB,2.270039,4.588193,2.318154,9354,5876,2.6242155,1.1350195,1.489196,,1
03,91,FB,6.219357,7.109039,0.8896823,16670.72,8096.76,4.1664185,3.1096785,1.05674,,1
03,92,FB,2.747657,3.458534,0.7108767,6154.49999999999,3610.53,1.9068108,1.3738285,0.5329823,,1
03,93,FB,2.905495,4.355383,1.449888,9728.39999999999,6495.06999999999,2.3734361,1.4527475,0.9206886,,1
03,94,FB,5.601058,6.196233,0.5951748,14141.45,8219.72,2.800529,2.800529,0,,1
03,95,FB,2.926533,3.419964,0.4934311,7931.60000000001,4154.40000000001,0.7942385,1.4632665,-0.669028,,1
03,96,FB,6.066392,5.13324,-0.9331522,12597.3,6508.79999999999,2.012303,3.033196,-1.020893,,1
03,97,FB,2.440707,2.374635,-0.0660727,7247.30000000002,3999.10000000001,1.9235088,1.2203535,0.7031553,,1
03,98,FB,5.825279,7.848577,2.023298,14150.4,8485.39999999999,3.8069323,2.9126395,0.8942928,,1
03,99,FB,7.731363,7.769692,0.03832912,16250,9207.10000000001,3.2351832,3.8656815,-0.6304983,,1
03,100,FB,6.998739,7.453652,0.4549127,14739.6,8008.40000000002,2.9421536,3.4993695,-0.5572159,,1
03,101,FB,7.424628,7.228784,-0.1958447,18748.8,10773.5,3.61434304,3.712314,-0.09797096,,1
03,102,FB,2.843138,2.787183,-0.05595565,7554.69999999995,3477.19999999995,0.00172000000000017,1.421569,-1.419849,,1
03,103,FB,2.413804,2.848921,0.4351175,7496.39999999997,4265.09999999998,0.9991462,1.206902,-0.2077558,,1
03,104,FB,3.547912,5.084386,1.536475,11375.1,7486.40000000002,3.22146,1.773956,1.447504,,1
03,105,FB,6.403716,7.745648,1.341932,14406.6,8208.60000000003,3.9772302,3.201858,0.7753722,,1
03,106,FB,2.654649,3.350883,0.6962335,6798.20000000001,4453.20000000001,2.6039395,1.3273245,1.276615,,1
